ana;ana@letscode.com.br;['bateria', 'voz'];['hard rock', 'heavy metal', 'clássica']
bruno;bruno@letscode.com.br;['guitarra'];['heavy metal', 'jazz']
farley;farley@gmail.com;['guitarra', 'bateria', 'piano'];['rock', 'heavy metal']
artur;artur@gmail.com;['guitarra', 'voz'];['black metal', 'heavy metal']
angel;angel@gmail.com;['voz'];['heavy metal']
guilherme;guilherme@gmail.com;['baixo', 'piano'];['country', 'heavy metal']
vania araujo;vaniaarau@gmail.com;['violino'];['clássica']
john;john@gmail.com;['baixo'];['punk rock', 'heavy metal']
julie;julie@gmail.com;['piano', 'guitarra', 'bateria', 'teclado'];['rock', 'reggae']
melody;melody@gmail.com;['flauta'];['clássica', 'rock']
newton;newton@gmail.com;['sintetizador'];['eletrônica']
white;white@gmail.com;['bateria', 'piano'];['hard rock', 'heavy metal']
bob;bob@gmail.com;['violao', 'sanfona'];['heavy metal', 'forró']
artur;artur@gmail.com;['tambor', 'guitarra'];['heavy metal', 'black metal', 'dark']
